parent_asin,product_title,brand,category_l2,category_l3,price,average_rating,rating_number,review_count,value_score,weighted_rating_signal,demand_rank,value_rank,review_rank
B07MD61BNH,Upgrade Version Pet Grooming Glove - Gentle Deshedding Brush Glove - Efficient Pet Hair Remover Mitt - Enhanced Five Finger Design - Perfect for Dog & Cat with Long & Short Fur - 1 Pair (Purple),DELOMO,Cats,Grooming,15.99,4.2,69028,13,2.926678194970431,46.79758433757719,19.0,713.0,42.0
B0C4BFWLNC,"Best Friends by Sheri Bundle Set The Original Calming Lux Donut Cuddler Cat and Dog Bed + Pet Throw Blanket Dark Chocolate Medium 30"" x 30""",Best Friends by Sheri,Cats,Beds & Furniture,71.99,4.6,68128,17,0.7111283224177752,51.194127930855636,20.0,3081.0,38.0
B0C67LVHVD,"Coolaroo The Original Cooling Elevated Dog Bed, Indoor and Outdoor, Medium, Gunmetal",Coolaroo,Cats,Beds & Furniture,28.0,4.6,67500,21,1.8268403350429359,51.1515293812022,21.0,1655.0,34.0
B0C5MXJ88Y,Nylabone Teething Puppy Chew Toys Made with Puppy-Friendly Materials l Promotes Positive Chewing Habits for Puppies,Nylabone,Dogs,Toys,8.65,4.3,66565,77,5.520876488711142,47.75558162735138,22.0,120.0,4.0
B08QTW5SFM,Advantage II Large Cat Vet-Recommended Flea Treatment & Prevention | Cats Over 9 lbs. | 4-Month Supply,Advantage,Cats,Flea & Tick Control,47.98,4.5,65900,16,1.0406750735091774,49.93159002697033,23.0,2618.0,39.0
B07BDRYFSG,"Amazon Basics Cooling Elevated Dog Bed with Metal Frame, Medium, 43 x 26 x 7.5 Inches, Grey",Amazon Basics,Dogs,Beds & Furniture,36.99,4.5,64889,13,1.3479864729458897,49.862019634268464,24.0,2218.0,42.0
B0BHX3FM3B,DogRook Dog Bark Collar - Rechargeable Smart Anti Barking Collar for Dogs - Waterproof No Shock Bark Collar for Small/Medium/Large Dogs - Anti Bark Collar for Dogs with 5 Sensitivity Levels,DogRook,Dogs,"Collars, Harnesses & Leashes",29.99,3.8,64142,16,1.402524405814763,42.06170693038474,25.0,2154.0,39.0
B09MDPN4JY,"ZippyPaws Skinny Peltz - Weasel, Skunk, & Wolf - No Stuffing Squeaky Dog Toys, Unstuffed Chew Toy for Small & Medium Breeds, Bulk Multi-Pack of 3 Soft Plush Dog Toys, Flat No Stuffing Puppy Toys - 18""",ZippyPaws,Dogs,Toys,11.99,4.5,63559,21,4.150861408918093,49.768828292927935,26.0,293.0,34.0
B0BHTBS5RM,"PetSafe CozyUp Folding Dog Stairs - Pet Stairs for Indoor/Outdoor at Home or Travel - Dog Steps for High Beds, Sofa with Siderails, Non-Slip Pads - Durable, Supports up to 150 lb - Large, Gray",PetSafe,Dogs,Beds & Furniture,53.62,4.2,62618,36,0.8651298192230301,46.38826090673887,27.0,2863.0,22.0
B0BYG4ZC5V,"PetSafe Gentle Leader No-Pull Dog Headcollar - The Ultimate Solution to Pulling - Redirects Your Dog's Pulling For Easier Walks - Helps You Regain Control - Petite, Fawn",PetSafe,Dogs,"Collars, Harnesses & Leashes",,4.3,61289,16,,47.40049949886304,28.0,3660.0,39.0
B09SQ4LSLJ,"Petmate Replendish Automatic Gravity Waterer for Cats and Dogs, BPA-Free, No Batteries Required, Includes Charcoal Filter, 4 Gallons",Petmate,Dogs,Feeding & Watering Supplies,37.95,4.5,60679,30,1.3059331344026641,49.56016245058111,29.0,2264.0,26.0
B084HMMQ8M,"Providence Engraving Pet ID Tags in 8 Shapes, 8 Colors, and Two Sizes - Personalized Dog Tags and Cat Tags with 4 Lines of Customizable Text Available in 8 Shapes and Colors",Providence Engraving,Dogs,"Collars, Harnesses & Leashes",3.99,4.6,60506,8,12.693826055915833,50.648365963104176,30.0,9.0,47.0
B0BG6VPJ72,Catstages Catnip Chase Track Green Interactive Cat Toy,Catstages,Cats,Toys,9.99,4.5,60250,37,4.957781283209702,49.52823501926492,31.0,179.0,21.0
B076PQMLFK,"Amazon Basics Foldable Metal Exercise Pet Play Pen for Dogs, Fence Pen, Single Door, 60 x 60 x 24 Inches",Amazon Basics,Dogs,"Crates, Houses & Pens",39.96,4.6,59922,5,1.2663601637885382,50.60375214498999,32.0,2315.0,50.0
B09HS4R77C,Outward Hound Squeakin' Racoon Hide A Puzzle Plush Replacement Dog Toys - 3 Pack,Outward Hound,Dogs,Toys,10.99,4.6,59703,66,4.60299451997558,50.58690977453162,33.0,218.0,7.0
B0C5VXV7LQ,"Pieviev Cat Litter Mat Double Layer Waterproof Urine Proof Trapping Mat 1 Pack (30''X24'', Black)",Pieviev,Cats,Litter & Housebreaking,23.99,4.4,59138,12,2.0152414293718213,48.34564189062999,34.0,1457.0,43.0
B089GG3QRC,"Dexas MudBuster Portable Dog Paw Cleaner, Small, Blue,PW700312",Dexas,Dogs,Grooming,16.1,4.4,58324,10,2.9990471320692156,48.28465882631438,35.0,673.0,45.0
B0BTLHXCQ1,"TRIXIE Dog Activity Dog Puzzle Toy, Dog Treat Puzzle, Interactive Play Enrichment Toys",TRIXIE,Dogs,Training & Behavior Aids,16.17,4.3,56838,12,2.911336138026712,47.07630535189194,36.0,719.0,43.0
B08P1PGH71,"Multipet INTERNATIONAL Lambchop Plush Squeak Toy Mini for Pets, 6-Inch",Multipet,Dogs,Toys,4.49,4.5,56732,39,10.970490198102276,49.25750098947922,37.0,16.0,19.0
B001GAQ9OY,"KONG - Extreme Dog Toy - Toughest Natural Rubber, Black - Fun to Chew, Chase and Fetch - for XX-Large Dogs",KONG,Dogs,Toys,,4.6,53212,14,,50.057466829351355,38.0,3660.0,41.0
B0BTJ296MW,"Milk-Bone Original Dog Treats Biscuits for Large Dogs, 4 Pounds (Pack of 2) (Packaging May Vary)",Milk-Bone,Dogs,Treats,15.98,4.8,53172,52,3.26847740506678,52.23026893296714,39.0,552.0,12.0
B0BP7J7FXJ,Pet Qwerks Talking Babble Ball - Interactive Chew Dog Toy - Large,Pet Qwerks,Dogs,Toys,10.89,4.1,52769,40,4.0938624718309296,44.58216231823882,40.0,301.0,18.0
B0C6C2ZWHF,Good'N'Fun Triple Flavored Rawhide Kabobs For Dogs,Good'n'Fun,Dogs,Treats,4.18,4.7,52100,46,12.212061071926211,51.04641528065156,41.0,11.0,14.0
B0C5MWR9TW,Nylabone Power Chew Durable Dog Toy Bacon X-Small/Petite (1 Count),Nylabone,Dogs,Toys,4.29,4.5,51734,59,11.385199105635369,48.84250416317573,42.0,13.0,10.0
B08WPXZ2MN,"Kuoser Warm Dog Coat, Reversible Dog Jacket Waterproof Dog Winter Coat British Style Plaid Dog Clothes Pet Dog Cold Weather Coats Cozy Snow Jacket Vest for Small Medium Large Dogs Red XS",Kuoser,Dogs,Apparel & Accessories,19.99,4.5,51423,19,2.4419895551984783,48.815371208417574,43.0,1053.0,36.0
B0C1JYQGZM,PetSafe ScoopFree Premium Crystal Cat Litter - 5x Better Odor Control Than Clay Litter - Less Tracking & Dust For A Fresh Home - Non-Clumping - Two 4.3 lb Bags Of Litter (8.6 lb Total) - Lavender,PetSafe,Cats,Litter & Housebreaking,16.79,4.5,51343,7,2.906990180766728,48.808365135073366,44.0,723.0,48.0
B09GT88YW7,"Amazon Basics Pet Carrier Kennel With Metal Wire Ventilation, 23-Inch",Amazon Basics,Dogs,Carriers & Travel Products,54.99,4.6,50330,11,0.9056434216187879,49.80133175481715,45.0,2819.0,44.0
B0BCR1QTGS,"Maxpower Planet Pet Grooming Brush - Double Sided Shedding and Dematting Undercoat Rake Comb for Dogs and Cats,Extra Wide, White, Dog Grooming Brush, Dog Shedding Brush",Maxpower Planet,Dogs,Grooming,15.47,4.6,50192,8,3.218403485917165,49.78870192713855,46.0,576.0,47.0
B0999HBLNS,Auroth Tactical Dog Training Harness No Pulling Front Clip Leash Adhesion Reflective K9 Pet Working Vest Easy Control for Small Medium Large Dogs Blue Camo L,AUROTH,Dogs,"Collars, Harnesses & Leashes",22.09,4.6,49964,4,2.25295423181354,49.767758980761094,47.0,1211.0,51.0
B07217B2KF,"Hi Kiss Dog/Puppy Obedience Recall Training Agility Lead - 15ft 20ft 30ft 50ft 100ft Training Leash - Great for Training, Play, Camping, or Backyard Blue 50 Feet",Hi Kiss,Dogs,Training & Behavior Aids,11.97,4.5,48667,12,4.057434965754639,48.56749654008303,48.0,310.0,43.0
B007NFLN1K,Thundershirt Classic Dog Anxiety Jacket,Thundershirt,Dogs,Health Supplies,44.95,4.2,48117,9,1.0073843992692633,45.28192874715339,49.0,2673.0,46.0
B09ZQ112J8,"YuMOVE Adult Dog Tablets | Hip and Joint Supplement for Dogs with Glucosamine, Chondroitin, Hyaluronic Acid, Green Lipped Mussel | Dogs Aged 6 to 8 | 300 Tablets",Lintbells,Dogs,Health Supplies,59.9,4.4,47825,2,0.7915096610364992,47.411428696086304,50.0,2969.0,53.0
B0C1PB7WKC,"Voyager Step-in Air Dog Harness - All Weather Mesh Step in Vest Harness for Small and Medium Dogs by Best Pet Supplies - Harness (Blue/Black Trim), XX-Small",Best Pet Supplies,Dogs,"Collars, Harnesses & Leashes",12.74,4.6,47226,9,3.8860688220443853,49.50851679284547,51.0,354.0,46.0
B09ZQ7ZXRL,"Active Pets Dog Car Seat Cover for Back Seat - Durable, Nonslip, Waterproof 600D 3-in-1 Hammock - Protector Against Dirt, Shedding and Scratching for Small or Mid-Size Sedans, SUVs and Trucks",Active Pets,Dogs,Carriers & Travel Products,33.26,4.6,47127,3,1.488240044579886,49.49886388272701,52.0,2070.0,52.0
B0C43QMSY9,"Chuckit! Sport Ball Launcher, Medium (18 Inch Length) Slobber Free Pickup",Chuckit!,Dogs,Toys,9.95,4.7,46906,18,5.080686866938078,50.552834326033874,53.0,167.0,37.0
B089D266VK,"Pet ID Tag Custom for Dog Cat Personalized | Many Shapes and Colors to Choose from | Made in USA | Strong Anodized Aluminum (Bone Blue, Small)",Dr. Fremont's,Dogs,"Collars, Harnesses & Leashes",2.77,4.5,46194,20,17.44867177165047,48.332820807471805,54.0,6.0,35.0
B07H81KGHH,"Fida Retractable Dog Leash, 10ft Heavy Duty Pet Walking Leash for X-Small Dog or Cat up to 18 lbs, Tangle Free. One-Hand Brake (X-Small, Green)",Fida,Dogs,"Collars, Harnesses & Leashes",12.59,4.5,45232,4,3.831463053668724,48.23811984568923,55.0,375.0,51.0
B08MT38L2X,"BENCMATE Protective Inflatable Collar for Dogs and Cats - Soft Pet Recovery Collar Does Not Block Vision E-Collar (X-Large, Grey)",BENCMATE,Dogs,Health Supplies,27.98,4.1,44982,9,1.5699629617710713,43.92756367035457,56.0,1959.0,46.0
B01DUB00DW,"Midwest Homes for Pets Newly Enhanced Single & Double Door New World Dog Crate, Includes Leak-Proof Pan, Floor Protecting Feet, & New Patented Features, B30DD",New World Pet Products,Dogs,"Crates, Houses & Pens",42.99,4.7,44315,11,1.1697086532637972,50.28577500381065,57.0,2437.0,44.0
B08ZN5STSH,"PEDIGREE DENTASTIX Large Dog Dental Treats Original Flavor Dental Bones, 1.66 lb. Pack (32 Treats)",Pedigree,Dogs,Treats,14.49,4.8,43921,62,3.541257345751466,51.312818939938744,58.0,445.0,9.0
B0C3H8PS4N,UPSKY Cat Toy Roller 4-Level Turntable Cat Toy Balls with Three Colorful Balls and Bell Ball X Turntable Interactive Kitten Fun Mental Physical Exercise Puzzle Toys.,UPSKY,Cats,Toys,13.99,4.4,43556,19,3.35954489623073,47.00003309826791,59.0,515.0,36.0
B07SR195SV,MidWest Homes for Pets Replacement Pan for 22' Long MidWest Dog Crate,MidWest Homes for Pets,Dogs,"Crates, Houses & Pens",9.99,4.6,43122,7,4.913947364529979,49.09033417165449,60.0,183.0,48.0
B09JSZK7WM,"Joytale Reflective Dog Collar,Soft Neoprene Padded Breathable Nylon Pet Collar Adjustable for Extra Large Dogs,Hotpink,XL",Joytale,Dogs,"Collars, Harnesses & Leashes",9.99,4.6,42672,4,4.909117090220448,49.04207973130228,61.0,184.0,51.0
B09ZXLSWYM,"Blueberry Pet Essentials 21 Colors Classic Dog Collar, Emerald, X-Small, Neck 8""-11"", Nylon Collars for Dogs",Blueberry Pet,Dogs,"Collars, Harnesses & Leashes",8.49,4.7,41936,11,5.892395962821487,50.02644172435443,62.0,103.0,44.0
B07YZM2XPD,"PoyPet No Pull Dog Harness, No Choke Front Lead Dog Reflective Harness, Adjustable Soft Padded Pet Vest with Easy Control Handle for Small to Large Dogs(Mint Blue,S)",PoyPet,Dogs,"Collars, Harnesses & Leashes",22.99,4.5,41748,8,2.0825332101145504,47.877438500533515,63.0,1382.0,47.0
B0C4CFW43M,"K9 Advantix II XL Dog Vet-Recommended Flea, Tick & Mosquito Treatment & Prevention | Dogs Over 55 lbs. | 2-Mo Supply",K9 advantix,Dogs,Flea & Tick Control,31.98,4.5,41031,16,1.4946680387995925,47.79948388081097,64.0,2059.0,39.0
B07ZGLNWP3,"Bedsure Medium Dog Bed for Medium Dogs - Orthopedic Waterproof Dog Beds with Removable Washable Cover, Egg Crate Foam Pet Bed Mat, Suitable for Dogs Up to 35lbs, Dark Grey",BEDSURE,Dogs,Beds & Furniture,31.99,4.6,41014,8,1.5273456833138328,48.85978840920951,65.0,2020.0,47.0
B0BS8619KM,"Earth Rated Dog Wipes, Thick Plant Based Grooming Wipes For Easy Use on Paws, Body and Bum, Lavender Scented, 100 Count",Earth Rated,Dogs,Grooming,9.99,4.7,40896,5,4.995837472635126,49.90841635162491,66.0,174.0,50.0
B09G1FWGS8,"FRONTLINE® Plus for Dogs Flea and Tick Treatment (Small Dog, 5-22 lbs.) 3 Doses (Orange Box)",FRONTLINE,Dogs,Flea & Tick Control,28.68,4.4,40871,14,1.6290126306989816,46.72008224844679,67.0,1878.0,41.0
B09XH5XMFS,"Pet Magasin Reusable Dog Diapers, Extra Small, Pack of 3",Pet Magasin,Dogs,Litter & Housebreaking,15.49,4.4,40362,12,3.01258506985114,46.66494273199416,68.0,667.0,43.0
B09BCJ9B41,"Wegreeco Washable Male Dog Belly Wrap - Pack of 3 - (Black,Blue,Olive,Large)",wegreeco,Dogs,Litter & Housebreaking,20.99,4.5,40219,13,2.272965149355403,47.7095384849699,69.0,1197.0,42.0
B0BYBF8WKY,"PetSafe Easy Walk No-Pull Dog Harness - The Ultimate Harness to Help Stop Pulling - Take Control & Teach Better Leash Manners - Helps Prevent Pets Pulling on Walks - Medium/Large, Apple Green/Gray",PetSafe,Dogs,"Collars, Harnesses & Leashes",22.95,4.4,40154,18,2.0323402996226267,46.64220987633928,70.0,1441.0,37.0
B09JVKL852,"Bolux Dog Harness, No-Pull Reflective Dog Vest, Breathable Adjustable Pet Harness with Handle for Outdoor Walking - No More Pulling, Tugging or Choking (Army Yellow, XXL)",Bolux,Dogs,"Collars, Harnesses & Leashes",8.49,4.2,39817,13,5.239895438330614,44.48671227142692,71.0,151.0,42.0
B0B4YVRW9Z,"Purina Pro Plan Veterinary Supplements FortiFlora Dog Probiotic Supplement, Canine Nutritional Supplement - (72) 30 ct. Boxes",Purina Pro Plan Veterinary Diets,Dogs,Health Supplies,30.99,4.7,39781,23,1.6062761597297688,49.77849819002553,72.0,1907.0,32.0
B081756MYP,"SleekEZ 10"" Horse Grooming Unique Blade Shed Tool",SleekEZ,Dogs,Grooming,21.95,4.5,39385,8,2.1692594833651313,47.615245659864634,73.0,1296.0,47.0
B010KC33PG,"carefresh Dust-Free Confetti Natural Paper Small Pet Bedding with Odor Control, 10L",Carefresh,Small Animals,Houses & Habitats,8.99,4.6,39063,12,5.409966672570731,48.63560038641088,74.0,135.0,43.0
B0BKXK352T,"Blue Buffalo Life Protection Formula Natural Adult Healthy Weight Dry Dog Food, Chicken and Brown Rice 15-lb",Blue Buffalo,Dogs,Food,37.99,4.7,38956,16,1.3077126780171067,49.680004637869885,75.0,2260.0,39.0
B07J6BC5C4,wegreeco Washable Female Dog Diapers (Pack of 3),wegreeco,Dogs,Litter & Housebreaking,20.98,4.4,38723,19,2.2155645998139106,46.482545304095844,76.0,1246.0,36.0
B09TVCFW2P,"Tetra Whisper Air Pump 40 To 60 Gallons, For Aquariums, Powerful Airflow, Non-UL Listed",Tetra,Fish & Aquatic Pets,Aquarium Pumps & Filters,10.58,4.6,38262,14,4.587929848170976,48.540297793648925,77.0,221.0,41.0
B0C3N2SRLG,Nylabone Healthy Edibles WILD Antler Natural Long Lasting Venison Flavor Dog Chew Treats Antler Medium/Wolf (10 Count),Nylabone,Dogs,Treats,10.49,4.2,37937,39,4.221503890810677,44.283575814604006,78.0,279.0,19.0
B0C47CG4RV,"K9 Advantix II Large Dog Vet-Recommended Flea, Tick & Mosquito Treatment & Prevention | Dogs 21 - 55 lbs. | 6-Mo Supply",K9 advantix,Dogs,Flea & Tick Control,75.98,4.5,37894,12,0.6243956969348194,47.44158505310758,79.0,3182.0,43.0
B0B4PLXP1F,"Pat Your Pet Deshedding Brush - Double-Sided Undercoat Rake for Dogs & Cats - Shedding Comb and Dematting Tool for Grooming, Extra Wide",Pat Your Pet,Dogs,Grooming,14.92,4.6,37671,17,3.248571917080938,48.468693002847594,80.0,565.0,38.0
B0BSW24R17,"Best Pet Supplies Dog Poop Bags for Waste Refuse Cleanup, Doggy Roll Replacements for Outdoor Puppy Walking and Travel, Leak Proof and Tear Resistant, Thick Plastic - Purple, 240 Bags",Best Pet Supplies,Dogs,Litter & Housebreaking,9.99,4.8,37599,2,5.061746224325759,50.56684478101433,81.0,168.0,53.0
B0B5Q78M7M,"Arm & Hammer for Pets Tartar Control Dental Training Kit for Puppies | Dog Toothbrush, Toothpaste, & Fingerbrush, Total Kit for Ideal Puppy Dental Health | Yummy Vanilla Ginger Flavor",Arm & Hammer,Dogs,Health Supplies,6.99,4.4,37461,7,6.629007497191085,46.33676240536569,82.0,66.0,48.0
B0C28XZLZ9,FURminator Undercoat Deshedding Tool for Medium Dogs – Long Hair (P-92980),FURminator,Dogs,Grooming,,4.7,37240,10,,49.46827824422131,83.0,3660.0,45.0
B0973Y33PB,"Meow Mix Original Choice Dry Cat Food, 18 Ounce (Pack of 6)",Meow Mix,Cats,Food,20.7,4.7,37145,23,2.3891919541986595,49.45627345191225,84.0,1101.0,32.0
B09TY7YCY7,"Purina Friskies Wet Cat Food Variety Pack, YUMbelievaBOX YUM-credible Surprises - (40) 5.5 oz. Pull-Top Cans",Friskies,Cats,Food,60.0,4.7,36811,11,0.8235637007067687,49.41382204240612,85.0,2923.0,44.0
B09H2JGQDF,"Seresto Cat Vet-Recommended Flea & Tick Treatment & Prevention Collar for Cats, 8 Months Protection | 2 Pack,Yellow",Seresto,Cats,Flea & Tick Control,121.98,4.6,36303,17,0.39595460528193366,48.29854275229027,86.0,3429.0,38.0
B0BN2LZF56,"N-Bone 3-Rings Puppy Teething Ring, Chicken Flavor",N-Bone,Dogs,Treats,5.0,4.5,36117,12,9.445091971511058,47.22545985755529,87.0,29.0,43.0
B09JMRLGMS,"Outward Hound Granby Splash Orange Dog Life Jacket, XL",Outward Hound,Dogs,Apparel & Accessories,27.99,4.5,35896,13,1.6862393899557835,47.19784052486238,88.0,1812.0,42.0
B01EX3QQK2,"Jasonwell Foldable Dog Pet Bath Pool Collapsible Dog Pet Pool Bathing Tub Kiddie Pool for Dogs Cats and Kids (39.5inch.D x 11.8inch.H, Grey)",Jasonwell,Dogs,Grooming,26.99,4.5,35450,10,1.7466313572205288,47.141580331382066,89.0,1746.0,45.0
B09H2CDBWG,"Furhaven XL Waterproof & Self-Warming Soft-Edged Terry & Sherpa Dog Blanket, Washable - Espresso, Extra Large",Furhaven,Cats,Beds & Furniture,28.99,4.5,35169,11,1.6248971805659238,47.10576926460613,90.0,1887.0,44.0
B07W563Y33,"Big Dog Harness No Pull Adjustable Pet Reflective Oxford Soft Vest for Large Dogs Easy Control Harness (L, Pink)",BABYLTRL,Dogs,"Collars, Harnesses & Leashes",24.28,4.4,34959,6,1.8959070531707445,46.03262325098568,91.0,1579.0,49.0
B0C5RH7C1F,"Reopet Silicone Dog Cat Bowl Mat Non-Stick Food Pad Water Cushion Waterproof - Multiple Colors, Sizes & Purposes",Reopet,Cats,Feeding & Watering Supplies,13.99,4.5,34884,8,3.364485702192996,47.069154973680014,92.0,512.0,47.0
B09XBYLVBK,"Purina Friskies Gravy Wet Cat Food Variety Pack, Poultry Shreds, Meaty Bits & Prime Filets - (32) 5.5 oz. Cans",Friskies,Cats,Food,24.58,4.7,34728,5,1.9991884724708977,49.14005265333466,93.0,1480.0,50.0
B09VYMLMMQ,"goDog Bubble Plush Dragons Squeaky Dog Toy, Chew Guard Technology - Purple, Small",goDog,Dogs,Toys,7.99,4.3,34464,24,5.62266686606695,44.92510825987493,94.0,113.0,31.0
B00ZK2JGHQ,TropiClean 2-in-1 Papaya & Coconut Dog Shampoo and Conditioner | Natural Pet Shampoo Derived from Natural Ingredients | Cat Friendly | Made in the USA | 20 oz.,TropiClean,Dogs,Grooming,14.99,4.6,34448,10,3.2059561135986505,48.057282142843775,95.0,583.0,45.0
B0744KM2M6,"Amazon Basics Dog and Puppy Pee Pads with Leak-Proof Quick-Dry Design for Potty Training, Heavy Duty Absorbency, X-Large, 28 x 34 Inches, Pack of 50, Blue & White",Amazon Basics,Dogs,Litter & Housebreaking,34.09,4.6,34446,13,1.4097100344276308,48.057015073637935,96.0,2148.0,42.0
B09JSFCBWK,"API Marine Bundle Pack: One (1) API SALTWATER MASTER TEST KIT, one (1) API MARINE FLAKES Fish Food",API,Fish & Aquatic Pets,Aquarium Test Kits,49.75,4.7,33851,5,0.9853234330796581,49.01984079571299,97.0,2707.0,50.0
B0C4G3ZTNQ,"Zesty Paws Puppy 8-in-1 Multivitamin Soft Chews - Glucosamine & Chondroitin for Hip & Joint Health - Omega 3 Fish Oil for Skin - Gut, Immune, Heart, Kidney & Liver Support for Puppies - 90 Count",Zesty Paws,Cats,Health Supplies,20.97,4.6,33771,19,2.2873620288331518,47.96598174463119,98.0,1192.0,36.0
B0933JN6QR,"Jecikelon Pet Dog Clothes Dog Sweater Soft Thickening Warm Pup Dogs Shirt Winter Puppy Sweater for Dogs (Small, Brown)",JECIKELON,Dogs,Apparel & Accessories,10.99,4.3,33710,11,4.079162123027921,44.829991732076856,99.0,304.0,44.0
B0C43VJ5D4,"Chuckit! Max Glow Ball Dog Toy, Medium (2.5 Inch Diameter) for Dogs 20-60 lbs",Chuckit!,Dogs,Toys,5.96,4.7,33477,7,8.216044596076184,48.96762579261406,100.0,44.0,48.0
